,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Keligun Chicken,32mg,378,86mg,3.1g,20mcg,3mg,58mg,14mg,19,430mg,25.3g,4.46153831481934,8977/keligun-chicken/,australian-and-new-zealander,14.0g,2531mg,2g,0mg,Keligun Chicken,8.5g,27.4g,239IU,1mg,8mg
Dad's New Zealand Mince Stew,56mg,474,96mg,2.2g,30mcg,4mg,47mg,11mg,50,658mg,21.9g,4.29545450210571,49560/dads-new-zealand-mince-stew/,australian-and-new-zealander,13.0g,935mg,17g,0mg,Dad's New Zealand Mince Stew,25.4g,32.4g,653IU,0mg,16mg
Barbequed Thai Style Chicken,36mg,324,100mg,0.9g,23mcg,3mg,51mg,14mg,79,395mg,32.8g,4.48717927932739,25482/barbequed-thai-style-chicken/,australian-and-new-zealander,6.0g,641mg,4g,0mg,Barbequed Thai Style Chicken,5.9g,18.3g,1035IU,0mg,36mg
Korean Sushi,44mg,492,109mg,2.9g,181mcg,5mg,58mg,12mg,18,485mg,23.1g,4.22222232818604,23954/korean-sushi/,australian-and-new-zealander,6.0g,409mg,3g,0mg,Korean Sushi,58g,17.6g,2951IU,0mg,9mg
Salt and Pepper Squid,54mg,1294,261mg,2.5g,120mcg,67mg,135mg,11mg,22,400mg,24.2g,4.16666650772095,98223/salt-and-pepper-squid/,australian-and-new-zealander,14.0g,5403mg,0g,1mg,Salt and Pepper Squid,110.1g,83.3g,53IU,0mg,5mg
Date Loaf Cake,83mg,204,0mg,1.5g,38mcg,1mg,11mg,2mg,27,130mg,2.2g,4.31034469604492,25568/date-loaf-cake/,australian-and-new-zealander,1.0g,386mg,26g,0mg,Date Loaf Cake,40.8g,4g,167IU,0mg,0mg
Aussie Lime Pie,163mg,444,150mg,1.7g,41mcg,1mg,30mg,2mg,57,271mg,7.5g,4.47169828414917,17346/aussie-lime-pie/,australian-and-new-zealander,12.0g,327mg,43g,0mg,Aussie Lime Pie,60.5g,20.3g,613IU,0mg,7mg
Baked Ziti I,359mg,578,71mg,6g,114mcg,3mg,72mg,15mg,10k,721mg,27.9g,4.70244884490967,11758/baked-ziti-i/,australian-and-new-zealander,13.0g,914mg,14g,0mg,Baked Ziti I,58.4g,25.3g,1135IU,0mg,4mg
Quinoa and Black Beans,41mg,153,0mg,7.8g,61mcg,2mg,35mg,2mg,7k,333mg,7.7g,4.64437437057495,49552/quinoa-and-black-beans/,australian-and-new-zealander,0.0g,517mg,2g,0mg,Quinoa and Black Beans,27.8g,1.7g,362IU,0mg,5mg
Annie's Fruit Salsa and Cinnamon Chips,113mg,312,0mg,5.7g,97mcg,3mg,30mg,4mg,3k,288mg,6.8g,4.77635431289673,26692/annies-fruit-salsa-and-cinnamon-chips/,australian-and-new-zealander,1.0g,462mg,16g,0mg,Annie's Fruit Salsa and Cinnamon Chips,59g,5.9g,56IU,0mg,48mg
Braised Balsamic Chicken,35mg,196,61mg,1.2g,8mcg,2mg,24mg,11mg,6k,209mg,23.8g,4.37646770477295,8665/braised-balsamic-chicken/,australian-and-new-zealander,1.0g,511mg,5g,0mg,Braised Balsamic Chicken,7.6g,7g,329IU,0mg,10mg
Roasted Brussels Sprouts,42mg,104,0mg,3g,68mcg,1mg,23mg,1mg,6k,362mg,2.9g,4.58096694946289,67952/roasted-brussels-sprouts/,australian-and-new-zealander,1.0g,344mg,5g,0mg,Roasted Brussels Sprouts,10g,7.3g,817IU,0mg,70mg
"Awesome Sausage, Apple and Cranberry Stuffing",47mg,235,80mg,2.1g,99mcg,3mg,24mg,3mg,3k,268mg,12.5g,4.76741933822632,13651/awesome-sausage-apple-and-cranberry-stuffing/,australian-and-new-zealander,5.0g,548mg,9g,0mg,"Awesome Sausage, Apple and Cranberry Stuffing",21.7g,11.6g,7756IU,0mg,9mg
Shepherd's Pie VI,128mg,452,65mg,7.3g,65mcg,4mg,81mg,11mg,3k,1443mg,23.1g,4.45864915847778,24202/shepherds-pie-vi/,australian-and-new-zealander,7.0g,295mg,6g,0mg,Shepherd's Pie VI,52.5g,17g,8674IU,1mg,53mg
Roasted Garlic Cauliflower,86mg,118,4mg,3.6g,81mcg,1mg,24mg,2mg,4k,444mg,4.7g,4.58743190765381,54675/roasted-garlic-cauliflower/,australian-and-new-zealander,2.0g,111mg,3g,0mg,Roasted Garlic Cauliflower,8.6g,8.2g,91IU,0mg,67mg
Artichoke & Spinach Dip Restaurant Style,138mg,153,28mg,1.4g,37mcg,1mg,22mg,1mg,3k,108mg,6.6g,4.66309213638306,33474/artichoke-spinach-dip-restaurant-style/,australian-and-new-zealander,6.0g,485mg,1g,0mg,Artichoke & Spinach Dip Restaurant Style,5.2g,12.3g,3027IU,0mg,4mg
Artichoke Chicken,181mg,548,96mg,3.8g,7mcg,1mg,29mg,17mg,3k,227mg,34.4g,4.41868782043457,69538/artichoke-chicken/,australian-and-new-zealander,8.0g,1225mg,1g,0mg,Artichoke Chicken,13.4g,39.9g,578IU,1mg,14mg
Strawberry Spinach Salad I,191mg,491,0mg,6.2g,182mcg,4mg,124mg,2mg,3k,725mg,6g,4.77275991439819,14276/strawberry-spinach-salad-i/,australian-and-new-zealander,5.0g,63mg,34g,0mg,Strawberry Spinach Salad I,42.9g,35.2g,6658IU,0mg,110mg
