,Title,Reference,Popularity,Rating,Region,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
Rosemary Slices,Rosemary Slices,212868/rosemary-slices/,83,4.55555534362793,canadian,37,1.7g,1.0g,7mg,16mg,12mg,5.2g,0.3g,0.6g,3g,52IU,0mg,4mg,0mg,0mg,0mg,0mg,3mg,4mcg
Butternut Squash Soup II,Butternut Squash Soup II,77981/butternut-squash-soup-ii/,3k,4.62109184265137,canadian,305,6.8g,4.0g,21mg,1151mg,1650mg,59.7g,9.5g,6.9g,10g,35991IU,89mg,178mg,3mg,0mg,6mg,1mg,136mg,111mcg
Old Fashioned Onion Rings,Old Fashioned Onion Rings,82659/old-fashioned-onion-rings/,1k,4.78520441055298,canadian,641,34.6g,6.0g,69mg,1272mg,328mg,68.3g,3.5g,14.3g,8g,256IU,4mg,265mg,4mg,1mg,8mg,0mg,40mg,146mcg
Crispy Orange Beef,Crispy Orange Beef,57966/crispy-orange-beef/,1k,4.47152853012085,canadian,507,18.7g,5.0g,60mg,651mg,983mg,59.2g,5.9g,27.4g,17g,1280IU,189mg,122mg,5mg,0mg,11mg,1mg,79mg,197mcg
Boneless Buffalo Wings,Boneless Buffalo Wings,151266/boneless-buffalo-wings/,1k,4.80413484573364,canadian,710,46.9g,10.0g,136mg,2334mg,389mg,43.7g,1.7g,28g,4g,751IU,15mg,131mg,4mg,0mg,15mg,0mg,41mg,89mcg
Light Oat Bread,Light Oat Bread,7025/light-oat-bread/,962,4.73380470275879,canadian,152,2.3g,0.0g,0mg,216mg,60mg,28.6g,1.3g,3.9g,2g,78IU,0mg,9mg,2mg,0mg,3mg,0mg,12mg,70mcg
Asian Salmon,Asian Salmon,54702/asian-salmon/,898,4.55126667022705,canadian,388,12g,2.0g,51mg,279mg,481mg,39.6g,0.7g,27.9g,2g,104IU,1mg,63mg,3mg,0mg,14mg,1mg,47mg,116mcg
Home Style Macaroni and Cheese,Home Style Macaroni and Cheese,23983/home-style-macaroni-and-cheese/,744,4.23233699798584,canadian,641,40.4g,25.0g,118mg,828mg,291mg,47g,2.5g,22.6g,6g,1494IU,2mg,442mg,3mg,0mg,7mg,0mg,46mg,104mcg
Best Ever Meat Loaf,Best Ever Meat Loaf,229559/best-ever-meat-loaf/,1k,4.72128868103027,canadian,409,22.7g,10.0g,155mg,1227mg,435mg,22.3g,1g,28.4g,14g,1948IU,4mg,223mg,3mg,0mg,11mg,0mg,36mg,40mcg
The Best Steak Marinade,The Best Steak Marinade,176770/the-best-steak-marinade/,1k,4.60772657394409,canadian,156,13.5g,2.0g,0mg,1135mg,188mg,7.8g,0.2g,1.2g,4g,14IU,3mg,28mg,1mg,0mg,1mg,0mg,9mg,4mcg
"Soft, Moist and Gooey Cinnamon Buns","Soft, Moist and Gooey Cinnamon Buns",7176/soft-moist-and-gooey-cinnamon-buns/,1k,4.76506042480469,canadian,165,8.9g,5.0g,29mg,143mg,60mg,21.2g,0.3g,1.1g,20g,267IU,0mg,28mg,0mg,0mg,0mg,0mg,5mg,12mcg
Greek Lemon Chicken and Potato Bake,Greek Lemon Chicken and Potato Bake,242402/greek-lemon-chicken-and-potato-bake/,3k,4.64174461364746,canadian,551,29.1g,6.0g,103mg,1859mg,1252mg,41.9g,8.5g,34.8g,3g,1036IU,49mg,142mg,6mg,0mg,16mg,1mg,95mg,73mcg
Best Hamburger Ever,Best Hamburger Ever,72657/best-hamburger-ever/,911,4.18425178527832,canadian,445,27.5g,12.0g,174mg,967mg,517mg,8.8g,1.2g,39g,2g,291IU,3mg,171mg,4mg,0mg,14mg,1mg,38mg,25mcg
Three Cheese Manicotti II,Three Cheese Manicotti II,86446/three-cheese-manicotti-ii/,501,4.61627912521362,canadian,611,24.1g,12.0g,96mg,1679mg,985mg,64.6g,8.2g,34g,24g,1729IU,6mg,837mg,4mg,0mg,17mg,1mg,99mg,122mcg
Oma's Rhubarb Cake,Oma's Rhubarb Cake,161436/omas-rhubarb-cake/,914,4.77687644958496,canadian,324,9g,5.0g,50mg,253mg,154mg,57.7g,1.2g,4.4g,38g,314IU,3mg,59mg,1mg,0mg,2mg,0mg,12mg,51mcg
Lisa's Favorite Carne Asada Marinade,Lisa's Favorite Carne Asada Marinade,186691/lisas-favorite-carne-asada-marinade/,776,4.71753978729248,canadian,207,14g,3.0g,25mg,640mg,309mg,5.7g,1g,15g,2g,865IU,17mg,31mg,2mg,0mg,6mg,0mg,25mg,17mcg
