,Title,Reference,Popularity,Rating,Region,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
Adriel's Chinese Curry Chicken,Adriel's Chinese Curry Chicken,214774/adriels-chinese-curry-chicken/,126,4.61971807479858,chinese,241,7.1g,2.0g,46mg,864mg,634mg,24.1g,3.2g,20.1g,3g,21IU,24mg,34mg,2mg,0mg,10mg,1mg,47mg,26mcg
General Tsao's Chicken II,General Tsao's Chicken II,91499/general-tsaos-chicken-ii/,2k,4.75433778762817,chinese,634,36.5g,6.0g,101mg,1192mg,530mg,54.9g,0.8g,24.3g,18g,133IU,8mg,58mg,3mg,0mg,9mg,0mg,26mg,14mcg
Sweet and Sour Pork III,Sweet and Sour Pork III,31144/sweet-and-sour-pork-iii/,1k,4.7032642364502,chinese,663,35g,7.0g,43mg,1085mg,516mg,74.7g,2.3g,13.9g,52g,485IU,36mg,57mg,1mg,0mg,6mg,0mg,34mg,31mcg
Honey Walnut Shrimp,Honey Walnut Shrimp,93234/honey-walnut-shrimp/,714,4.51214551925659,chinese,605,26.3g,4.0g,179mg,340mg,317mg,68g,1.5g,26.1g,45g,247IU,2mg,69mg,3mg,0mg,5mg,0mg,65mg,19mcg
Moo Goo Gai Pan,Moo Goo Gai Pan,165846/moo-goo-gai-pan/,108,4.37634420394897,chinese,409,14.3g,3.0g,86mg,990mg,800mg,30.9g,8.3g,41.7g,9g,397IU,55mg,72mg,5mg,0mg,23mg,1mg,64mg,106mcg
Crispy Orange Beef,Crispy Orange Beef,57966/crispy-orange-beef/,1k,4.47152853012085,chinese,507,18.7g,5.0g,60mg,651mg,983mg,59.2g,5.9g,27.4g,17g,1280IU,189mg,122mg,5mg,0mg,11mg,1mg,79mg,197mcg
Restaurant Style Beef and Broccoli,Restaurant Style Beef and Broccoli,191156/restaurant-style-beef-and-broccoli/,2k,4.43592309951782,chinese,331,21.1g,5.0g,52mg,419mg,683mg,13.3g,3g,21.7g,3g,707IU,102mg,61mg,3mg,0mg,8mg,1mg,45mg,79mcg
Chicken Broccoli Ca - Unieng's Style,Chicken Broccoli Ca - Unieng's Style,46819/chicken-broccoli-ca-uniengs-style/,266,4.32456159591675,chinese,170,7.9g,1.0g,33mg,418mg,520mg,9.8g,2.5g,16.2g,3g,3422IU,75mg,111mg,2mg,0mg,10mg,1mg,44mg,82mcg
Chinese Barbeque Pork (Char Siu),Chinese Barbeque Pork (Char Siu),258494/chinese-barbeque-pork-char-siu/,89,4.72222232818604,chinese,513,21.9g,8.0g,90mg,2421mg,504mg,49.1g,0.8g,26g,42g,165IU,3mg,57mg,3mg,1mg,10mg,0mg,40mg,14mcg
Szechwan Shrimp,Szechwan Shrimp,86230/szechwan-shrimp/,3k,4.42688655853271,chinese,142,4.4g,1.0g,164mg,500mg,230mg,6.7g,0.4g,18.3g,4g,476IU,5mg,46mg,3mg,0mg,3mg,0mg,35mg,9mcg
