,Title,Reference,Popularity,Rating,Region,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
Hungarian Poppy Seed Filling,Hungarian Poppy Seed Filling,97456/hungarian-poppy-seed-filling/,26,4.86666679382324,eastern-european,152,10g,2.0g,22mg,50mg,131mg,13.5g,1.4g,3.8g,12g,180IU,0mg,227mg,1mg,0mg,1mg,0mg,49mg,12mcg
Kolachky,Kolachky,26159/kolachky/,116,4.57142877578735,eastern-european,241,17.9g,8.0g,34mg,37mg,71mg,17.8g,0.9g,3.9g,4g,369IU,0mg,44mg,1mg,0mg,1mg,0mg,18mg,30mcg
Serbian Cevapcici,Serbian Cevapcici,80398/serbian-cevapcici/,86,4.55882358551025,eastern-european,690,46.1g,18.0g,223mg,1097mg,879mg,2.1g,0.6g,62.8g,0g,350IU,3mg,55mg,5mg,1mg,23mg,1mg,61mg,24mcg
Slovak Stuffed Cabbage,Slovak Stuffed Cabbage,14597/slovak-stuffed-cabbage/,350,4.50409841537476,eastern-european,556,36.5g,14.0g,101mg,2096mg,876mg,31.6g,6.9g,25.9g,17g,985IU,110mg,101mg,5mg,1mg,12mg,1mg,60mg,91mcg
Solianka or Russian Beef Soup,Solianka or Russian Beef Soup,13093/solianka-or-russian-beef-soup/,,,eastern-european,478,30.4g,14.0g,100mg,1374mg,1051mg,26.9g,4.7g,25.4g,11g,2332IU,43mg,102mg,4mg,0mg,13mg,0mg,33mg,29mcg
Real Hungarian Goulash (No Tomato Paste Here),Real Hungarian Goulash (No Tomato Paste Here),235135/real-hungarian-goulash-no-tomato-paste-here/,129,4.5,eastern-european,348,20.1g,8.0g,111mg,76mg,451mg,8.9g,2.6g,32.1g,4g,1806IU,8mg,38mg,5mg,0mg,7mg,1mg,37mg,24mcg
Rice Bread (Pirog),Rice Bread (Pirog),6994/rice-bread-pirog/,6,4.66666650772095,eastern-european,288,8g,2.0g,27mg,94mg,169mg,47.5g,1.3g,6.4g,14g,365IU,0mg,64mg,2mg,0mg,4mg,0mg,17mg,93mcg
Simple Golabki,Simple Golabki,221395/simple-golabki/,43,4.29629611968994,eastern-european,225,9.6g,4.0g,50mg,1432mg,791mg,18.7g,6.6g,18.2g,10g,347IU,86mg,133mg,4mg,0mg,7mg,1mg,53mg,104mcg
Bosnian Style Cornbread (Razljevak),Bosnian Style Cornbread (Razljevak),206164/bosnian-style-cornbread-razljevak/,9,4.22222232818604,eastern-european,245,14.6g,3.0g,64mg,557mg,150mg,22g,0.8g,6.6g,3g,112IU,1mg,128mg,1mg,0mg,3mg,0mg,17mg,50mcg
Beef Stroganoff III,Beef Stroganoff III,25202/beef-stroganoff-iii/,4k,4.58566617965698,eastern-european,304,23g,12.0g,83mg,619mg,213mg,5.7g,0.9g,16.6g,1g,488IU,2mg,33mg,2mg,0mg,5mg,0mg,19mg,21mcg
Hungarian Mushroom Soup,Hungarian Mushroom Soup,17897/hungarian-mushroom-soup/,2k,4.73101282119751,eastern-european,201,13.5g,8.0g,32mg,829mg,542mg,14.8g,2.4g,7.5g,6g,1271IU,11mg,103mg,2mg,0mg,6mg,0mg,27mg,41mcg
Russian Tea Cakes I,Russian Tea Cakes I,10192/russian-tea-cakes-i/,2k,4.69166040420532,eastern-european,102,7.3g,3.0g,14mg,37mg,24mg,8.2g,0.4g,1.3g,3g,158IU,0mg,6mg,0mg,0mg,1mg,0mg,7mg,16mcg
Stuffed Cabbage Rolls,Stuffed Cabbage Rolls,26661/stuffed-cabbage-rolls/,2k,4.34585905075073,eastern-european,223,13.1g,5.0g,66mg,657mg,338mg,13.3g,0.9g,12.8g,3g,1783IU,25mg,33mg,2mg,0mg,6mg,0mg,26mg,37mcg
Russian Mushroom and Potato Soup,Russian Mushroom and Potato Soup,80773/russian-mushroom-and-potato-soup/,1k,4.74782609939575,eastern-european,167,7.7g,5.0g,23mg,928mg,541mg,21.2g,2.7g,4.5g,3g,2490IU,19mg,50mg,1mg,0mg,3mg,0mg,30mg,36mcg
