,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Chocolate Decadence Yule Log,44mg,377,98mg,1.6g,26mcg,2mg,21mg,2mg,104,98mg,6g,3.92647051811218,15704/chocolate-decadence-yule-log/,french,8.0g,230mg,50g,0mg,Chocolate Decadence Yule Log,58.8g,14.1g,353IU,0mg,0mg
Gratin Dauphinois de Solange,493mg,627,180mg,3.3g,32mcg,1mg,56mg,6mg,13,746mg,17.2g,4.875,246439/gratin-dauphinois-de-solange/,french,31.0g,209mg,1g,0mg,Gratin Dauphinois de Solange,29.5g,49.9g,1845IU,1mg,31mg
Traditional Layered French Croissants,23mg,213,45mg,0.7g,55mcg,1mg,7mg,2mg,51,60mg,3.2g,4.35294103622437,190997/traditional-layered-french-croissants/,french,9.0g,140mg,2g,0mg,Traditional Layered French Croissants,18.8g,14g,456IU,0mg,0mg
Cali's Sinful Creme Brulee,111mg,680,419mg,1.2g,38mcg,1mg,34mg,2mg,102,192mg,6.6g,4.59154939651489,83905/calis-sinful-creme-brulee/,french,33.0g,58mg,37g,0mg,Cali's Sinful Creme Brulee,42.6g,55.8g,2049IU,0mg,1mg
Beef Bourguignon II,112mg,583,125mg,4.1g,57mcg,4mg,57mg,10mg,571,730mg,32.2g,4.44901323318481,16905/beef-bourguignon-ii/,french,15.0g,1333mg,7g,0mg,Beef Bourguignon II,21.9g,31g,5701IU,1mg,13mg
Chef John's Creme Fraiche ,11mg,52,20mg,0g,1mcg,0mg,1mg,0mg,291,13mg,0.4g,4.85074615478516,222387/chef-johns-creme-fraiche/,french,3.0g,7mg,0g,0mg,Chef John's Creme Fraiche ,0.5g,5.5g,219IU,0mg,0mg
Chef John's Coq Au Vin,27mg,337,82mg,0.8g,21mcg,2mg,35mg,11mg,1k,473mg,24.4g,4.85213994979858,239230/chef-johns-coq-au-vin/,french,6.0g,582mg,2g,0mg,Chef John's Coq Au Vin,7.9g,18g,380IU,0mg,4mg
Chicken Cordon Bleu II,272mg,584,195mg,0.3g,17mcg,1mg,55mg,23mg,9k,473mg,41.6g,4.77749061584473,8669/chicken-cordon-bleu-ii/,french,24.0g,655mg,1g,0mg,Chicken Cordon Bleu II,7.7g,40.9g,1399IU,1mg,12mg
Creamy Au Gratin Potatoes,484mg,499,77mg,4.4g,78mcg,2mg,77mg,7mg,7k,1184mg,19.8g,4.52637767791748,15925/creamy-au-gratin-potatoes/,french,16.0g,683mg,9g,0mg,Creamy Au Gratin Potatoes,49.3g,25.4g,939IU,1mg,19mg
Basic Crepes,56mg,216,111mg,0.8g,71mcg,2mg,14mg,3mg,6k,115mg,7.4g,4.63456344604492,16383/basic-crepes/,french,5.0g,235mg,2g,0mg,Basic Crepes,25.5g,9.2g,357IU,0mg,0mg
Chicken Cordon Bleu I,379mg,419,124mg,0.8g,25mcg,2mg,60mg,25mg,4k,457mg,46.1g,4.61169767379761,8495/chicken-cordon-bleu-i/,french,10.0g,932mg,1g,0mg,Chicken Cordon Bleu I,12.6g,19.4g,407IU,1mg,12mg
French Baguettes,7mg,113,17mg,0.8g,66mcg,1mg,8mg,3mg,2k,40mg,3.8g,4.7673544883728,7028/french-baguettes/,french,0.0g,196mg,1g,0mg,French Baguettes,22g,0.9g,21IU,0mg,0mg
French Onion Soup Gratinee,759mg,618,114mg,4.2g,111mcg,3mg,61mg,8mg,2k,543mg,29.7g,4.7326922416687,91192/french-onion-soup-gratinee/,french,21.0g,3336mg,11g,0mg,French Onion Soup Gratinee,39.5g,35.9g,2758IU,0mg,31mg
French Bread,5mg,94,0mg,0.8g,60mcg,1mg,6mg,2mg,1k,41mg,2.9g,4.52357339859009,6882/french-bread/,french,0.0g,119mg,0g,0mg,French Bread,19.5g,0.3g,1IU,0mg,0mg
Rich and Simple French Onion Soup,451mg,585,98mg,2.7g,71mcg,2mg,41mg,7mg,1k,432mg,20.9g,4.59831237792969,13309/rich-and-simple-french-onion-soup/,french,24.0g,1578mg,6g,0mg,Rich and Simple French Onion Soup,27.9g,43.9g,1114IU,0mg,9mg
Ratatouille,271mg,251,18mg,7.4g,71mcg,2mg,71mg,6mg,1k,1049mg,12.7g,4.44830751419067,18411/ratatouille/,french,5.0g,327mg,13g,0mg,Ratatouille,24.3g,13.5g,1350IU,0mg,56mg
Chocolate Ganache,10mg,142,21mg,1.2g,1mcg,0mg,1mg,0mg,1k,71mg,1.4g,4.81244277954102,33647/chocolate-ganache/,french,7.0g,6mg,7g,0mg,Chocolate Ganache,9.4g,10.8g,220IU,0mg,0mg
Crepes,44mg,79,49mg,0.3g,26mcg,1mg,7mg,1mg,2k,74mg,3.7g,4.76513767242432,27188/crepes/,french,1.0g,30mg,2g,0mg,Crepes,9.5g,2.8g,119IU,0mg,0mg
