,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Fresh Shrimp Boil,193mg,420,376mg,4g,47mcg,7mg,115mg,15mg,27,709mg,40.1g,5.0,241981/fresh-shrimp-boil/,mexican,8.0g,7527mg,3g,0mg,Fresh Shrimp Boil,19.9g,15.2g,4876IU,1mg,22mg
Low-Carb Jicama Tostadas,18mg,57,0mg,7.4g,18mcg,1mg,18mg,0mg,3,225mg,1.1g,0.0,263162/low-carb-jicama-tostadas/,mexican,0.0g,6mg,3g,0mg,Low-Carb Jicama Tostadas,13.2g,0.1g,32IU,0mg,30mg
Best Fish Tacos ,80mg,322,35mg,3.8g,88mcg,3mg,48mg,6mg,3,591mg,21.2g,5.0,263122/best-fish-tacos/,mexican,3.0g,833mg,2g,0mg,Best Fish Tacos ,34.6g,9g,1043IU,0mg,18mg
Crispy Pork Carnitas,35mg,317,89mg,0.4g,5mcg,2mg,23mg,10mg,268,371mg,25.5g,4.59999990463257,239786/crispy-pork-carnitas/,mexican,6.0g,1036mg,0g,1mg,Crispy Pork Carnitas,2.1g,22.6g,17IU,0mg,2mg
Jeannie's Vegetarian Enchiladas ,376mg,626,59mg,9.6g,193mcg,6mg,77mg,8mg,1,818mg,20.6g,4.0,258250/jeannies-vegetarian-enchiladas/,mexican,15.0g,1138mg,5g,1mg,Jeannie's Vegetarian Enchiladas ,67.2g,31.2g,2569IU,0mg,49mg
Mexican Corn Bread Casserole,168mg,304,101mg,1.9g,58mcg,2mg,28mg,6mg,21,372mg,18.2g,4.5,262261/mexican-corn-bread-casserole/,mexican,8.0g,708mg,4g,0mg,Mexican Corn Bread Casserole,21.5g,16.3g,840IU,0mg,12mg
Cochinita Pibil (Mexican Pulled Pork in Annatto Sauce),56mg,422,122mg,0.9g,28mcg,2mg,49mg,16mg,3,811mg,37.6g,4.66666650772095,259999/cochinita-pibil-mexican-pulled-pork-in-annatto-sauce/,mexican,9.0g,1334mg,5g,2mg,Cochinita Pibil (Mexican Pulled Pork in Annatto Sauce),8.3g,25.6g,158IU,1mg,31mg
Authentic Mexican Chili Rellenos,312mg,263,102mg,1.1g,50mcg,2mg,26mg,3mg,519,217mg,13.1g,4.58823537826538,219646/authentic-mexican-chili-rellenos/,mexican,8.0g,357mg,3g,0mg,Authentic Mexican Chili Rellenos,17.3g,16g,594IU,0mg,65mg
Pollo Adobado,51mg,350,129mg,1.9g,32mcg,2mg,61mg,29mg,5,706mg,47.6g,4.5,240321/pollo-adobado/,mexican,3.0g,937mg,6g,0mg,Pollo Adobado,9.5g,12.7g,3887IU,1mg,71mg
Salsa Chicken,242mg,287,101mg,1g,13mcg,1mg,51mg,20mg,6k,531mg,35.5g,4.623565673828129,16700/salsa-chicken/,mexican,7.0g,863mg,3g,0mg,Salsa Chicken,6.8g,12.4g,543IU,1mg,3mg
