,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Fresh Shrimp Boil,193.0,420,376.0,4.0,47.0,7.0,115.0,15.0,27.0,709.0,40.1,5.0,241981/fresh-shrimp-boil/,mexican,8.0,7527.0,3.0,0.0,Fresh Shrimp Boil,19.9,15.2,4876IU,1.0,22.0
Low-Carb Jicama Tostadas,18.0,57,0.0,7.4,18.0,1.0,18.0,0.0,3.0,225.0,1.1,0.0,263162/low-carb-jicama-tostadas/,mexican,0.0,6.0,3.0,0.0,Low-Carb Jicama Tostadas,13.2,0.1,32IU,0.0,30.0
Best Fish Tacos ,80.0,322,35.0,3.8,88.0,3.0,48.0,6.0,3.0,591.0,21.2,5.0,263122/best-fish-tacos/,mexican,3.0,833.0,2.0,0.0,Best Fish Tacos ,34.6,9.0,1043IU,0.0,18.0
Crispy Pork Carnitas,35.0,317,89.0,0.4,5.0,2.0,23.0,10.0,268.0,371.0,25.5,4.59999990463257,239786/crispy-pork-carnitas/,mexican,6.0,1036.0,0.0,1.0,Crispy Pork Carnitas,2.1,22.6,17IU,0.0,2.0
Jeannie's Vegetarian Enchiladas ,376.0,626,59.0,9.6,193.0,6.0,77.0,8.0,1.0,818.0,20.6,4.0,258250/jeannies-vegetarian-enchiladas/,mexican,15.0,1138.0,5.0,1.0,Jeannie's Vegetarian Enchiladas ,67.2,31.2,2569IU,0.0,49.0
Mexican Corn Bread Casserole,168.0,304,101.0,1.9,58.0,2.0,28.0,6.0,21.0,372.0,18.2,4.5,262261/mexican-corn-bread-casserole/,mexican,8.0,708.0,4.0,0.0,Mexican Corn Bread Casserole,21.5,16.3,840IU,0.0,12.0
Cochinita Pibil (Mexican Pulled Pork in Annatto Sauce),56.0,422,122.0,0.9,28.0,2.0,49.0,16.0,3.0,811.0,37.6,4.66666650772095,259999/cochinita-pibil-mexican-pulled-pork-in-annatto-sauce/,mexican,9.0,1334.0,5.0,2.0,Cochinita Pibil (Mexican Pulled Pork in Annatto Sauce),8.3,25.6,158IU,1.0,31.0
Authentic Mexican Chili Rellenos,312.0,263,102.0,1.1,50.0,2.0,26.0,3.0,519.0,217.0,13.1,4.58823537826538,219646/authentic-mexican-chili-rellenos/,mexican,8.0,357.0,3.0,0.0,Authentic Mexican Chili Rellenos,17.3,16.0,594IU,0.0,65.0
Pollo Adobado,51.0,350,129.0,1.9,32.0,2.0,61.0,29.0,5.0,706.0,47.6,4.5,240321/pollo-adobado/,mexican,3.0,937.0,6.0,0.0,Pollo Adobado,9.5,12.7,3887IU,1.0,71.0
Salsa Chicken,242.0,287,101.0,1.0,13.0,1.0,51.0,20.0,6000.0,531.0,35.5,4.623565673828129,16700/salsa-chicken/,mexican,7.0,863.0,3.0,0.0,Salsa Chicken,6.8,12.4,543IU,1.0,3.0
