,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Lebkuchen VI,10mg,61,3mg,0.3g,10mcg,0mg,8mg,0mg,52,50mg,0.7g,4.31914901733398,25811/lebkuchen-vi/,german,0.0g,15mg,9g,0mg,Lebkuchen VI,13.8g,0.5g,4IU,0mg,0mg
Jaeger Schnitzel,70mg,455,169mg,3.2g,154mcg,4mg,76mg,23mg,78,813mg,38.6g,4.23214292526245,85935/jaeger-schnitzel/,german,3.0g,828mg,3g,2mg,Jaeger Schnitzel,53.5g,9.1g,96IU,1mg,2mg
Crispy Roasted Chicken,31mg,495,129mg,1.2g,13mcg,3mg,41mg,13mg,194,433mg,41.5g,4.65909099578857,228363/crispy-roasted-chicken/,german,8.0g,446mg,1g,0mg,Crispy Roasted Chicken,3.1g,34.5g,1350IU,1mg,2mg
Lengenberg's Boiled Potatoes,7mg,204,0mg,4.3g,8mcg,0mg,3mg,0mg,34,28mg,5.4g,4.40000009536743,218445/lengenbergs-boiled-potatoes/,german,0.0g,57mg,0g,0mg,Lengenberg's Boiled Potatoes,46.2g,0.3g,421IU,0mg,7mg
German Spaetzle Dumplings,47mg,141,73mg,0.7g,49mcg,1mg,15mg,2mg,852,75mg,4.7g,4.50493431091309,11793/german-spaetzle-dumplings/,german,3.0g,269mg,1g,0mg,German Spaetzle Dumplings,16.8g,6g,324IU,0mg,2mg
Bee Sting Cake (Bienenstich) II,73mg,226,46mg,1.3g,47mcg,1mg,27mg,2mg,57,194mg,4.9g,3.73684215545654,8039/bee-sting-cake-bienenstich-ii/,german,7.0g,56mg,6g,0mg,Bee Sting Cake (Bienenstich) II,20.2g,14.4g,434IU,0mg,0mg
Semmelknoedel (Bread Dumplings),169mg,506,113mg,3.9g,202mcg,5mg,51mg,10mg,101,345mg,20.5g,4.51282072067261,85194/semmelknoedel-bread-dumplings/,german,6.0g,1220mg,8g,1mg,Semmelknoedel (Bread Dumplings),78.8g,12.3g,495IU,0mg,4mg
Kaiserschmarren,85mg,472,196mg,3.3g,85mcg,3mg,29mg,5mg,32,445mg,11.6g,4.5,171660/kaiserschmarren/,german,4.0g,109mg,59g,0mg,Kaiserschmarren,89.9g,8.9g,425IU,0mg,2mg
Juicy Roasted Chicken,28mg,423,97mg,0.2g,11mcg,2mg,28mg,10mg,5k,305mg,30.9g,4.70753002166748,83557/juicy-roasted-chicken/,german,7.0g,662mg,1g,0mg,Juicy Roasted Chicken,1.2g,32.1g,799IU,0mg,0mg
German Apple Cake I,7mg,201,16mg,0.9g,22mcg,1mg,4mg,1mg,2k,40mg,1.7g,4.57599449157715,7915/german-apple-cake-i/,german,1.0g,107mg,19g,0mg,German Apple Cake I,27.7g,9.7g,32IU,0mg,1mg
Authentic German Potato Salad,16mg,183,10mg,2.2g,14mcg,1mg,26mg,3mg,1k,426mg,5.4g,4.61716175079346,83097/authentic-german-potato-salad/,german,1.0g,796mg,11g,0mg,Authentic German Potato Salad,32.2g,3.9g,86IU,0mg,10mg
Hot German Potato Salad III,17mg,205,10mg,2.8g,18mcg,1mg,32mg,3mg,972,518mg,4.3g,4.55126810073853,18085/hot-german-potato-salad-iii/,german,2.0g,512mg,4g,0mg,Hot German Potato Salad III,32.9g,6.5g,10IU,0mg,11mg
Jagerschnitzel,131mg,556,157mg,3g,53mcg,4mg,52mg,13mg,600,540mg,32.9g,4.57854413986206,60708/jagerschnitzel/,german,12.0g,683mg,4g,1mg,Jagerschnitzel,29.9g,33.5g,256IU,1mg,2mg
German Pancakes II,80mg,235,210mg,0.6g,64mcg,2mg,15mg,3mg,807,153mg,9.9g,4.4916467666626,36900/german-pancakes-ii/,german,7.0g,190mg,2g,0mg,German Pancakes II,18.2g,13.6g,557IU,0mg,0mg
Grandma Jeanette's Amazing German Red Cabbage,47mg,148,15mg,2.7g,17mcg,1mg,17mg,1mg,687,266mg,1.4g,4.64691352844238,139977/grandma-jeanettes-amazing-german-red-cabbage/,german,4.0g,1375mg,19g,0mg,Grandma Jeanette's Amazing German Red Cabbage,23.6g,6g,1172IU,0mg,51mg
German Potato Salad,38mg,328,19mg,5.1g,46mcg,2mg,55mg,5mg,460,992mg,8g,4.54855632781982,14411/german-potato-salad/,german,4.0g,250mg,8g,0mg,German Potato Salad,46.1g,12.8g,139IU,1mg,45mg
German Rouladen,23mg,264,59mg,1.8g,13mcg,2mg,29mg,7mg,432,405mg,19.1g,4.57499980926514,25194/german-rouladen/,german,8.0g,1450mg,4g,0mg,German Rouladen,7.7g,17.4g,369IU,0mg,4mg
Slow Cooker Kielbasa and Beer,42mg,383,75mg,1.9g,21mcg,2mg,27mg,7mg,275,472mg,14.7g,4.11538457870483,21380/slow-cooker-kielbasa-and-beer/,german,11.0g,1491mg,3g,0mg,Slow Cooker Kielbasa and Beer,7.8g,31.1g,13IU,0mg,10mg
