,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Spanakopita,441mg,496,125mg,3.4g,184mcg,5mg,98mg,6mg,49,529mg,17.2g,4.67391300201416,21496/spanakopita/,greek,20.0g,816mg,3g,0mg,Spanakopita,31.1g,34.5g,9913IU,0mg,12mg
Greek Lemon Chicken and Potatoes,93mg,1139,284mg,3g,52mcg,6mg,112mg,36mg,1k,1428mg,80.4g,4.73824119567871,242352/greek-lemon-chicken-and-potatoes/,greek,17.0g,1866mg,2g,0mg,Greek Lemon Chicken and Potatoes,34.5g,74.5g,625IU,2mg,26mg
Greek Stuffed Tomatoes and Peppers (Yemista),49mg,348,44mg,3.4g,89mcg,3mg,36mg,6mg,27,553mg,13g,4.33333349227905,233236/greek-stuffed-tomatoes-and-peppers-yemista/,greek,7.0g,412mg,5g,0mg,Greek Stuffed Tomatoes and Peppers (Yemista),28.5g,20.6g,1394IU,0mg,61mg
Mediterranean Puff Pastry Chicken,181mg,515,101mg,2.1g,94mcg,3mg,50mg,13mg,270,438mg,22.4g,4.56198358535767,140729/mediterranean-puff-pastry-chicken/,greek,10.0g,524mg,3g,0mg,Mediterranean Puff Pastry Chicken,33.6g,32.6g,1654IU,0mg,9mg
Grecian Pork Tenderloin,91mg,404,65mg,2.2g,19mcg,3mg,44mg,11mg,410,535mg,24.3g,4.57549238204956,14951/grecian-pork-tenderloin/,greek,5.0g,829mg,1g,1mg,Grecian Pork Tenderloin,9.1g,31.1g,343IU,1mg,22mg
Greek Style Garlic Chicken Breast,36mg,644,68mg,1.6g,7mcg,1mg,39mg,19mg,517,360mg,27.8g,4.47301578521729,54202/greek-style-garlic-chicken-breast/,greek,8.0g,660mg,0g,0mg,Greek Style Garlic Chicken Breast,4g,57.6g,136IU,1mg,23mg
Cousin Cosmo's Greek Chicken,131mg,239,85mg,0.8g,52mcg,2mg,54mg,20mg,505,468mg,31g,4.43525171279907,28362/cousin-cosmos-greek-chicken/,greek,4.0g,686mg,1g,0mg,Cousin Cosmo's Greek Chicken,4.8g,10.2g,1856IU,1mg,10mg
Octapodi Kokkinisto (Greek Octopus in Tomato Sauce),109mg,412,73mg,2.4g,51mcg,10mg,64mg,8mg,24,813mg,24.2g,4.57142877578735,214011/octapodi-kokkinisto-greek-octopus-in-tomato-sauce/,greek,4.0g,502mg,6g,0mg,Octapodi Kokkinisto (Greek Octopus in Tomato Sauce),14.6g,28.8g,734IU,1mg,22mg
Greek Chicken Pasta,125mg,488,55mg,7.5g,169mcg,4mg,71mg,17mg,1k,526mg,32.6g,4.35623741149902,12072/greek-chicken-pasta/,greek,3.0g,444mg,5g,0mg,Greek Chicken Pasta,70g,11.4g,486IU,1mg,56mg
Souvlaki,21mg,189,65mg,1.2g,7mcg,1mg,34mg,11mg,943,467mg,24.2g,4.69621515274048,14713/souvlaki/,greek,2.0g,354mg,1g,1mg,Souvlaki,4.3g,8.1g,86IU,1mg,25mg
Spinach and Feta Pita Bake,149mg,350,13mg,6.9g,142mcg,4mg,96mg,5mg,1k,524mg,11.6g,4.75766849517822,93666/spinach-and-feta-pita-bake/,greek,4.0g,587mg,3g,0mg,Spinach and Feta Pita Bake,41.6g,17.1g,5546IU,0mg,19mg
Greek Penne and Chicken,155mg,685,94mg,7.1g,25mcg,5mg,98mg,26mg,740,654mg,47g,4.32564449310303,11998/greek-penne-and-chicken/,greek,7.0g,826mg,6g,0mg,Greek Penne and Chicken,96.2g,13.2g,920IU,1mg,24mg
Spanakopita (Greek Spinach Pie),495mg,494,100mg,7.4g,391mcg,8mg,175mg,7mg,909,1304mg,18.2g,4.50068950653076,18417/spanakopita-greek-spinach-pie/,greek,11.0g,894mg,5g,0mg,Spanakopita (Greek Spinach Pie),31.5g,34.7g,12264IU,1mg,62mg
Greek Lemon Chicken and Potato Bake,142mg,551,103mg,8.5g,73mcg,6mg,95mg,16mg,3k,1252mg,34.8g,4.64174461364746,242402/greek-lemon-chicken-and-potato-bake/,greek,6.0g,1859mg,3g,0mg,Greek Lemon Chicken and Potato Bake,41.9g,29.1g,1036IU,1mg,49mg
Chicken Souvlaki Gyro Style,566mg,764,133mg,3.8g,144mcg,4mg,80mg,23mg,506,728mg,44.4g,4.67781686782837,72114/chicken-souvlaki-gyro-style/,greek,15.0g,3170mg,12g,1mg,Chicken Souvlaki Gyro Style,55.9g,40.5g,2270IU,1mg,21mg
Moussaka,351mg,567,123mg,5.4g,57mcg,3mg,60mg,9mg,791,742mg,23.6g,4.43971633911133,19644/moussaka/,greek,18.0g,1017mg,14g,0mg,Moussaka,29.1g,39.4g,920IU,0mg,6mg
Greek Pasta with Tomatoes and White Beans,338mg,460,17mg,11.5g,228mcg,12mg,153mg,7mg,658,1362mg,23.4g,4.16455698013306,11669/greek-pasta-with-tomatoes-and-white-beans/,greek,3.0g,593mg,8g,0mg,Greek Pasta with Tomatoes and White Beans,79g,5.9g,8321IU,0mg,35mg
Feta Cheese Turkey Burgers,217mg,318,123mg,0.5g,22mcg,2mg,31mg,9mg,459,300mg,25.5g,4.56166982650757,14572/feta-cheese-turkey-burgers/,greek,9.0g,800mg,2g,0mg,Feta Cheese Turkey Burgers,3.6g,21.9g,226IU,1mg,0mg
Greek Chicken,38mg,412,97mg,1.4g,9mcg,2mg,30mg,10mg,518,319mg,31.1g,4.46218490600586,14527/greek-chicken/,greek,7.0g,95mg,0g,0mg,Greek Chicken,3.5g,30.7g,145IU,0mg,22mg
