,Title,Reference,Popularity,Rating,Region,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
Makhani Chicken (Indian Butter Chicken),Makhani Chicken (Indian Butter Chicken),24782/makhani-chicken-indian-butter-chicken/,186,4.44508647918701,indian,492,28.4g,14.0g,149mg,666mg,950mg,19g,3.7g,35.8g,10g,2441IU,23mg,159mg,3mg,0mg,23mg,1mg,80mg,28mcg
Cholay (Curried Chickpeas),Cholay (Curried Chickpeas),67767/cholay-curried-chickpeas/,73,4.02597379684448,indian,248,6.7g,1.0g,0mg,446mg,493mg,40.2g,8.3g,8.5g,3g,809IU,17mg,72mg,3mg,0mg,2mg,1mg,57mg,116mcg
Indian Tomato Chicken,Indian Tomato Chicken,17449/indian-tomato-chicken/,282,4.52112674713135,indian,134,5.4g,1.0g,57mg,547mg,363mg,6.9g,1.6g,14.7g,3g,139IU,9mg,50mg,2mg,0mg,8mg,0mg,32mg,18mcg
Indian Chicken Curry I,Indian Chicken Curry I,20036/indian-chicken-curry-i/,265,4.44976091384888,indian,305,15.3g,10.0g,81mg,443mg,606mg,9.8g,2.8g,33g,5g,277IU,8mg,53mg,4mg,0mg,16mg,0mg,64mg,24mcg
Prawn Malai Curry,Prawn Malai Curry,213244/prawn-malai-curry/,15,4.40000009536743,indian,343,21.4g,13.0g,175mg,71mg,314mg,13.8g,4g,25.1g,3g,486IU,8mg,142mg,5mg,0mg,5mg,0mg,40mg,23mcg
Reshmi Kebab (Silken Kebabs),Reshmi Kebab (Silken Kebabs),34974/reshmi-kebab-silken-kebabs/,13,4.40000009536743,indian,293,15.6g,8.0g,124mg,115mg,401mg,5.3g,1.7g,33g,1g,1066IU,24mg,57mg,2mg,0mg,21mg,1mg,42mg,18mcg
Chicken Biryani,Chicken Biryani,16102/chicken-biryani/,224,4.31292533874512,indian,832,35.1g,8.0g,134mg,1522mg,1021mg,78.9g,5.1g,47.8g,5g,562IU,29mg,73mg,4mg,0mg,27mg,1mg,82mg,42mcg
Bhuna Gosht,Bhuna Gosht,212488/bhuna-gosht/,21,4.22222232818604,indian,453,30.4g,10.0g,90mg,90mg,760mg,20.5g,4.3g,25.6g,9g,1080IU,74mg,80mg,3mg,0mg,12mg,0mg,53mg,60mcg
Chicken Tikka Masala,Chicken Tikka Masala,45736/chicken-tikka-masala/,3k,4.38908433914185,indian,404,28.9g,17.0g,143mg,1592mg,660mg,13.3g,2.5g,24.6g,7g,2432IU,11mg,206mg,3mg,0mg,13mg,1mg,57mg,24mcg
Curry Stand Chicken Tikka Masala Sauce,Curry Stand Chicken Tikka Masala Sauce,228293/curry-stand-chicken-tikka-masala-sauce/,3k,4.91426849365234,indian,328,23.4g,13.0g,106mg,980mg,462mg,13.2g,2.3g,17.9g,7g,1496IU,9mg,68mg,2mg,0mg,9mg,0mg,37mg,19mcg
Vegetarian Korma,Vegetarian Korma,60598/vegetarian-korma/,2k,4.57152509689331,indian,462,31.1g,15.0g,82mg,1434mg,1088mg,41.3g,8.4g,8.6g,9g,13460IU,73mg,120mg,3mg,0mg,5mg,1mg,83mg,84mcg
Indian Chicken Curry II,Indian Chicken Curry II,46822/indian-chicken-curry-ii/,1k,4.27125215530396,indian,313,21.7g,10.0g,38mg,268mg,576mg,14g,3.8g,19.1g,7g,555IU,15mg,172mg,4mg,0mg,11mg,1mg,66mg,27mcg
Red Lentil Curry,Red Lentil Curry,16641/red-lentil-curry/,1k,4.48824453353882,indian,192,2.6g,0.0g,0mg,572mg,727mg,32.5g,11.3g,12.1g,7g,377IU,9mg,44mg,6mg,0mg,4mg,0mg,61mg,227mcg
Chicken Makhani (Indian Butter Chicken),Chicken Makhani (Indian Butter Chicken),45957/chicken-makhani-indian-butter-chicken/,1k,4.50079107284546,indian,408,27.8g,11.0g,107mg,523mg,625mg,15.6g,2.2g,23.4g,5g,1194IU,12mg,135mg,3mg,0mg,9mg,0mg,49mg,24mcg
Easy Indian Butter Chicken,Easy Indian Butter Chicken,141169/easy-indian-butter-chicken/,1k,4.7105507850647,indian,880,82.3g,48.0g,303mg,1461mg,567mg,12.8g,2.6g,26.4g,5g,3092IU,11mg,134mg,2mg,0mg,12mg,0mg,50mg,26mcg
Spicy Vegan Potato Curry,Spicy Vegan Potato Curry,165190/spicy-vegan-potato-curry/,1k,4.49796342849731,indian,407,20.1g,13.0g,0mg,1176mg,1090mg,50.6g,10.1g,10.1g,6g,1069IU,44mg,107mg,7mg,0mg,4mg,1mg,98mg,94mcg
Indian Chicken Curry (Murgh Kari),Indian Chicken Curry (Murgh Kari),212721/indian-chicken-curry-murgh-kari/,1k,4.74292182922363,indian,427,24.3g,5.0g,95mg,1370mg,699mg,14.7g,2.9g,38.1g,5g,748IU,12mg,143mg,3mg,0mg,23mg,1mg,64mg,29mcg
Chickpea Curry,Chickpea Curry,34689/chickpea-curry/,648,4.24024963378906,indian,135,4.5g,1.0g,0mg,289mg,217mg,20.5g,4.6g,4.1g,1g,506IU,7mg,51mg,2mg,0mg,1mg,0mg,28mg,56mcg
Slow Cooker Butter Chicken,Slow Cooker Butter Chicken,174543/slow-cooker-butter-chicken/,1k,4.48495006561279,indian,480,33.3g,19.0g,103mg,442mg,824mg,17.2g,4g,30.6g,8g,647IU,11mg,134mg,6mg,0mg,12mg,0mg,79mg,33mcg
Baingan Bharta (Eggplant Curry),Baingan Bharta (Eggplant Curry),47564/baingan-bharta-eggplant-curry/,410,4.32051277160645,indian,146,8g,1.0g,2mg,739mg,559mg,15.2g,6.2g,4g,8g,596IU,12mg,93mg,1mg,0mg,2mg,0mg,38mg,50mcg
