,Title,Reference,Popularity,Rating,Region,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
Fresh Shrimp Boil,Fresh Shrimp Boil,241981/fresh-shrimp-boil/,27,5,mexican,420,15.2g,8.0g,376mg,7527mg,709mg,19.9g,4g,40.1g,3g,4876IU,22mg,193mg,7mg,0mg,15mg,1mg,115mg,47mcg
Low-Carb Jicama Tostadas,Low-Carb Jicama Tostadas,263162/low-carb-jicama-tostadas/,3,0,mexican,57,0.1g,0.0g,0mg,6mg,225mg,13.2g,7.4g,1.1g,3g,32IU,30mg,18mg,1mg,0mg,0mg,0mg,18mg,18mcg
Best Fish Tacos ,Best Fish Tacos ,263122/best-fish-tacos/,3,5,mexican,322,9g,3.0g,35mg,833mg,591mg,34.6g,3.8g,21.2g,2g,1043IU,18mg,80mg,3mg,0mg,6mg,0mg,48mg,88mcg
Crispy Pork Carnitas,Crispy Pork Carnitas,239786/crispy-pork-carnitas/,268,4.59999990463257,mexican,317,22.6g,6.0g,89mg,1036mg,371mg,2.1g,0.4g,25.5g,0g,17IU,2mg,35mg,2mg,1mg,10mg,0mg,23mg,5mcg
Jeannie's Vegetarian Enchiladas ,Jeannie's Vegetarian Enchiladas ,258250/jeannies-vegetarian-enchiladas/,1,4,mexican,626,31.2g,15.0g,59mg,1138mg,818mg,67.2g,9.6g,20.6g,5g,2569IU,49mg,376mg,6mg,1mg,8mg,0mg,77mg,193mcg
Mexican Corn Bread Casserole,Mexican Corn Bread Casserole,262261/mexican-corn-bread-casserole/,21,4.5,mexican,304,16.3g,8.0g,101mg,708mg,372mg,21.5g,1.9g,18.2g,4g,840IU,12mg,168mg,2mg,0mg,6mg,0mg,28mg,58mcg
Cochinita Pibil (Mexican Pulled Pork in Annatto Sauce),Cochinita Pibil (Mexican Pulled Pork in Annatto Sauce),259999/cochinita-pibil-mexican-pulled-pork-in-annatto-sauce/,3,4.66666650772095,mexican,422,25.6g,9.0g,122mg,1334mg,811mg,8.3g,0.9g,37.6g,5g,158IU,31mg,56mg,2mg,2mg,16mg,1mg,49mg,28mcg
Authentic Mexican Chili Rellenos,Authentic Mexican Chili Rellenos,219646/authentic-mexican-chili-rellenos/,519,4.58823537826538,mexican,263,16g,8.0g,102mg,357mg,217mg,17.3g,1.1g,13.1g,3g,594IU,65mg,312mg,2mg,0mg,3mg,0mg,26mg,50mcg
Pollo Adobado,Pollo Adobado,240321/pollo-adobado/,5,4.5,mexican,350,12.7g,3.0g,129mg,937mg,706mg,9.5g,1.9g,47.6g,6g,3887IU,71mg,51mg,2mg,0mg,29mg,1mg,61mg,32mcg
Salsa Chicken,Salsa Chicken,16700/salsa-chicken/,6k,4.62356567382813,mexican,287,12.4g,7.0g,101mg,863mg,531mg,6.8g,1g,35.5g,3g,543IU,3mg,242mg,1mg,0mg,20mg,1mg,51mg,13mcg
Chicken Enchiladas II,Chicken Enchiladas II,8694/chicken-enchiladas-ii/,6k,4.56212091445923,mexican,619,27.1g,11.0g,60mg,1459mg,397mg,66.8g,4.1g,26.1g,4g,652IU,14mg,340mg,5mg,1mg,13mg,0mg,48mg,137mcg
Burrito Pie,Burrito Pie,16881/burrito-pie/,4k,4.55905294418335,mexican,432,23.9g,10.0g,68mg,847mg,388mg,33.3g,4.7g,19.8g,1g,252IU,8mg,159mg,3mg,0mg,8mg,0mg,45mg,62mcg
Chicken Enchiladas I,Chicken Enchiladas I,8691/chicken-enchiladas-i/,5k,4.47949838638306,mexican,498,15.9g,9.0g,72mg,1227mg,496mg,49.7g,3.9g,26.7g,3g,967IU,11mg,327mg,4mg,0mg,13mg,0mg,54mg,108mcg
Angela's Awesome Enchiladas,Angela's Awesome Enchiladas,83549/angelas-awesome-enchiladas/,3k,4.71484375,mexican,709,36.3g,18.0g,126mg,1764mg,590mg,52.5g,4.4g,42.2g,4g,1422IU,19mg,509mg,5mg,0mg,18mg,0mg,68mg,115mcg
Addictive Sweet Potato Burritos,Addictive Sweet Potato Burritos,13954/addictive-sweet-potato-burritos/,2k,4.26604461669922,mexican,505,8.5g,4.0g,20mg,1029mg,503mg,76.6g,13.4g,20g,5g,13603IU,15mg,307mg,5mg,1mg,5mg,0mg,51mg,100mcg
Fish Tacos,Fish Tacos,53729/fish-tacos/,3k,4.70888519287109,mexican,409,18.8g,3.0g,54mg,407mg,511mg,43g,4.9g,17.3g,5g,251IU,25mg,145mg,2mg,0mg,3mg,0mg,49mg,65mcg
Lime Chicken Soft Tacos,Lime Chicken Soft Tacos,25371/lime-chicken-soft-tacos/,2k,4.43364572525024,mexican,204,6.8g,2.0g,37mg,433mg,200mg,18.9g,1.4g,16.2g,2g,187IU,4mg,78mg,2mg,0mg,6mg,0mg,22mg,40mcg
Easy Mexican Casserole,Easy Mexican Casserole,20680/easy-mexican-casserole/,2k,4.38577270507813,mexican,632,43.7g,23.0g,119mg,1308mg,925mg,32.8g,6.2g,31.7g,6g,1546IU,8mg,451mg,3mg,0mg,8mg,0mg,65mg,34mcg
Delicious Black Bean Burritos,Delicious Black Bean Burritos,14041/delicious-black-bean-burritos/,2k,4.45699453353882,mexican,692,35.8g,12.0g,47mg,1803mg,296mg,70.2g,14.8g,21.2g,4g,1707IU,42mg,204mg,7mg,0mg,5mg,0mg,26mg,101mcg
Black Bean and Corn Quesadillas,Black Bean and Corn Quesadillas,104850/black-bean-and-corn-quesadillas/,2k,4.61316633224487,mexican,363,14.5g,7.0g,26mg,732mg,332mg,45.6g,6.3g,13.9g,3g,332IU,2mg,204mg,3mg,0mg,5mg,0mg,45mg,114mcg
