,Title,Reference,Popularity,Rating,Region,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
Moroccan Lentil Soup,Moroccan Lentil Soup,12960/moroccan-lentil-soup/,499,4.37618160247803,north-african,329,3.6g,1.0g,0mg,317mg,923mg,56.5g,18g,18.3g,5g,2181IU,16mg,121mg,6mg,0mg,4mg,1mg,107mg,255mcg
Marrakesh Vegetable Curry,Marrakesh Vegetable Curry,13988/marrakesh-vegetable-curry/,596,4.55941486358643,north-african,330,18g,2.0g,0mg,874mg,1084mg,39g,10.5g,8g,13g,12444IU,89mg,130mg,11mg,0mg,4mg,1mg,120mg,189mcg
Slow Cooker Chicken Marrakesh,Slow Cooker Chicken Marrakesh,218769/slow-cooker-chicken-marrakesh/,936,4.18145942687988,north-african,290,2g,0.0g,66mg,625mg,886mg,36g,6.3g,30.6g,7g,19569IU,12mg,89mg,3mg,0mg,20mg,1mg,75mg,47mcg
Moroccan Tagine,Moroccan Tagine,69633/moroccan-tagine/,407,4.42500019073486,north-african,265,4.3g,1.0g,20mg,878mg,905mg,44.7g,8.1g,14.1g,9g,20359IU,46mg,146mg,4mg,0mg,7mg,1mg,87mg,99mcg
Moroccan Chicken,Moroccan Chicken,18182/moroccan-chicken/,358,4.30523252487183,north-african,286,3.7g,1.0g,67mg,2128mg,1086mg,27.9g,6.3g,36g,5g,5893IU,24mg,99mg,4mg,0mg,22mg,1mg,84mg,86mcg
Lamb Tagine,Lamb Tagine,105044/lamb-tagine/,410,4.66666650772095,north-african,423,20.5g,5.0g,109mg,1129mg,659mg,23.6g,4.6g,35.8g,11g,13396IU,13mg,76mg,4mg,0mg,14mg,0mg,50mg,48mcg
Make-Ahead Vegetarian Moroccan Stew,Make-Ahead Vegetarian Moroccan Stew,217109/make-ahead-vegetarian-moroccan-stew/,362,4.54915237426758,north-african,543,4.2g,2.0g,5mg,1218mg,2046mg,110.6g,24g,19.5g,23g,26614IU,80mg,196mg,7mg,1mg,8mg,1mg,149mg,252mcg
Chakchouka (Shakshouka),Chakchouka (Shakshouka),213717/chakchouka-shakshouka/,559,4.6105260848999,north-african,209,15g,3.0g,164mg,654mg,511mg,12.9g,3.1g,7.8g,7g,1678IU,65mg,60mg,2mg,0mg,3mg,0mg,31mg,53mcg
Chicken Tagine,Chicken Tagine,180014/chicken-tagine/,189,4.21505355834961,north-african,380,15.2g,4.0g,65mg,571mg,500mg,38.5g,4.2g,22.3g,14g,6494IU,8mg,50mg,2mg,0mg,10mg,0mg,41mg,29mcg
Moroccan Chicken and Whole Grain Couscous,Moroccan Chicken and Whole Grain Couscous,83565/moroccan-chicken-and-whole-grain-couscous/,140,4.37414979934692,north-african,399,6.7g,1.0g,67mg,1539mg,739mg,50.7g,7.8g,33.4g,4g,4054IU,18mg,91mg,4mg,0mg,15mg,1mg,74mg,94mcg
Harira,Harira,13443/harira/,153,4.55172395706177,north-african,467,16.7g,6.0g,116mg,594mg,689mg,50g,13.3g,29.4g,6g,1170IU,38mg,86mg,6mg,0mg,11mg,1mg,81mg,222mcg
Moroccan Couscous,Moroccan Couscous,105045/moroccan-couscous/,136,4.49635028839111,north-african,246,2.6g,0.0g,0mg,263mg,447mg,48.1g,5.2g,8.4g,10g,208IU,30mg,53mg,2mg,0mg,3mg,0mg,49mg,31mcg
Spanish Moroccan Fish,Spanish Moroccan Fish,133895/spanish-moroccan-fish/,165,4.40157461166382,north-african,268,5.1g,1.0g,70mg,381mg,1078mg,12.6g,3.3g,41.7g,3g,3209IU,38mg,105mg,3mg,0mg,9mg,1mg,82mg,48mcg
Sweet and Nutty Moroccan Couscous,Sweet and Nutty Moroccan Couscous,81551/sweet-and-nutty-moroccan-couscous/,,,north-african,442,14.8g,6.0g,25mg,164mg,377mg,68.2g,6.4g,10.5g,17g,894IU,0mg,70mg,2mg,0mg,5mg,0mg,63mg,18mcg
Fava Bean Breakfast Spread,Fava Bean Breakfast Spread,17596/fava-bean-breakfast-spread/,72,4.59756088256836,north-african,101,3.7g,1.0g,0mg,322mg,316mg,13.6g,3.5g,4.6g,2g,477IU,14mg,34mg,1mg,0mg,2mg,0mg,32mg,37mcg
25-Minute Tunisian Vegetable Couscous,25-Minute Tunisian Vegetable Couscous,168959/25-minute-tunisian-vegetable-couscous/,72,4.14666652679443,north-african,387,4.9g,1.0g,&lt; 1mg,699mg,487mg,72.1g,8.8g,13.6g,5g,2045IU,53mg,84mg,3mg,0mg,6mg,1mg,68mg,86mcg
Moroccan Chickpea Stew,Moroccan Chickpea Stew,217947/moroccan-chickpea-stew/,129,4.66197204589844,north-african,476,6.5g,1.0g,0mg,1263mg,1832mg,96.1g,13.6g,15.7g,27g,18799IU,170mg,296mg,9mg,0mg,7mg,1mg,120mg,130mcg
Cold Roasted Moroccan Spiced Salmon,Cold Roasted Moroccan Spiced Salmon,110025/cold-roasted-moroccan-spiced-salmon/,68,4.42028999328613,north-african,225,9.8g,2.0g,84mg,261mg,755mg,2.2g,0.3g,30.2g,1g,74IU,1mg,25mg,1mg,0mg,18mg,1mg,46mg,35mcg
Algerian Carrots,Algerian Carrots,99244/algerian-carrots/,92,4.1904764175415,north-african,157,11.6g,2.0g,0mg,476mg,370mg,13.5g,4.8g,1.3g,5g,25786IU,6mg,55mg,1mg,0mg,1mg,0mg,17mg,22mcg
Bissara,Bissara,104405/bissara/,52,4.20634937286377,north-african,371,13.5g,2.0g,0mg,18mg,810mg,46.3g,19.5g,18.7g,6g,1317IU,16mg,62mg,4mg,1mg,6mg,0mg,93mg,219mcg
