,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Norway's Best Pepper Cookies,16mg,144,21mg,0.5g,25mcg,1mg,4mg,1mg,53,21mg,1.5g,4.47499990463257,11086/norways-best-pepper-cookies/,scandinavian,5.0g,108mg,7g,0mg,Norway's Best Pepper Cookies,17.3g,7.8g,242IU,0mg,0mg
Finnish Pulla,25mg,178,34mg,0.9g,66mcg,2mg,10mg,3mg,262,68mg,4.7g,4.78645849227905,7010/finnish-pulla/,scandinavian,2.0g,99mg,7g,0mg,Finnish Pulla,30.9g,3.8g,138IU,0mg,0mg
Rosenmunnar,2mg,47,7mg,0.1g,7mcg,0mg,1mg,0mg,855,6mg,0.4g,4.57719278335571,9745/rosenmunnar/,scandinavian,2.0g,19mg,2g,0mg,Rosenmunnar,5.6g,2.6g,79IU,0mg,0mg
Rosettes I,12mg,561,13mg,0.1g,10mcg,0mg,2mg,0mg,203,21mg,1.1g,4.7425742149353,9809/rosettes-i/,scandinavian,8.0g,28mg,5g,0mg,Rosettes I,8.2g,59.2g,32IU,0mg,0mg
Swedish Nuts II,22mg,298,15mg,2.7g,7mcg,1mg,35mg,1mg,125,125mg,3.1g,4.68518495559692,15037/swedish-nuts-ii/,scandinavian,5.0g,48mg,14g,0mg,Swedish Nuts II,16.5g,26.2g,193IU,0mg,0mg
Norwegian Lefse,27mg,368,16mg,5.5g,63mcg,2mg,59mg,6mg,125,918mg,6.9g,4.45454549789429,18082/norwegian-lefse/,scandinavian,4.0g,523mg,3g,0mg,Norwegian Lefse,71.2g,6.6g,197IU,1mg,20mg
Danish Almond Puff,25mg,424,131mg,0.8g,67mcg,2mg,10mg,3mg,47,78mg,5.9g,4.60465097427368,64780/danish-almond-puff/,scandinavian,15.0g,193mg,18g,0mg,Danish Almond Puff,42g,25.9g,804IU,0mg,0mg
Danish Christmas Red Cabbage,24mg,144,0mg,1g,9mcg,0mg,8mg,0mg,100,116mg,0.7g,4.52112674713135,79136/danish-christmas-red-cabbage/,scandinavian,0.0g,402mg,35g,0mg,Danish Christmas Red Cabbage,36.8g,0.1g,527IU,0mg,27mg
Mom's Buttermilk Pancakes,93mg,210,65mg,0.8g,67mcg,2mg,16mg,3mg,1k,156mg,7.1g,4.25729179382324,203229/moms-buttermilk-pancakes/,scandinavian,4.0g,1027mg,3g,0mg,Mom's Buttermilk Pancakes,27.2g,7.9g,256IU,0mg,1mg
Swedish Meatballs (Svenska Kottbullar),65mg,309,108mg,0.6g,31mcg,2mg,21mg,7mg,1k,290mg,16.9g,4.63652801513672,216564/swedish-meatballs-svenska-kottbullar/,scandinavian,11.0g,794mg,3g,0mg,Swedish Meatballs (Svenska Kottbullar),11.9g,21.3g,392IU,0mg,1mg
Swedish Meatballs I,306mg,662,178mg,0.8g,33mcg,4mg,59mg,13mg,456,712mg,31.2g,4.05835008621216,15449/swedish-meatballs-i/,scandinavian,19.0g,1193mg,12g,0mg,Swedish Meatballs I,26.3g,47.8g,550IU,0mg,4mg
Hasselback Potatoes,72mg,247,19mg,5.1g,39mcg,2mg,55mg,4mg,796,965mg,6.1g,4.24494361877441,79518/hasselback-potatoes/,scandinavian,4.0g,171mg,2g,0mg,Hasselback Potatoes,41.1g,7.1g,201IU,1mg,45mg
Chef John's Swedish Meatballs,76mg,479,194mg,0.7g,32mcg,3mg,32mg,10mg,900,429mg,28.2g,4.62745094299316,231169/chef-johns-swedish-meatballs/,scandinavian,17.0g,1206mg,2g,0mg,Chef John's Swedish Meatballs,10.1g,35.8g,648IU,0mg,1mg
The Amazing Swedish Meatball,116mg,560,134mg,1.4g,43mcg,3mg,37mg,11mg,265,453mg,24.6g,3.44978165626526,53763/the-amazing-swedish-meatball/,scandinavian,16.0g,2175mg,3g,0mg,The Amazing Swedish Meatball,18.6g,42.7g,496IU,0mg,3mg
Easy Swedish Meatball Sauce ,77mg,393,140mg,0.8g,23mcg,2mg,24mg,4mg,570,299mg,15g,4.2358078956604,218894/easy-swedish-meatball-sauce/,scandinavian,17.0g,358mg,1g,0mg,Easy Swedish Meatball Sauce ,12.2g,31.5g,1080IU,0mg,5mg
Easy Swedish Apple Pie,18mg,359,69mg,2.2g,32mcg,1mg,8mg,2mg,277,126mg,2.8g,4.59471368789673,54628/easy-swedish-apple-pie/,scandinavian,11.0g,133mg,35g,0mg,Easy Swedish Apple Pie,49.3g,18g,572IU,0mg,4mg
Norwegian Pancakes - Pannekaken,88mg,145,98mg,0.6g,53mcg,1mg,14mg,3mg,250,147mg,7.3g,4.58571434020996,83723/norwegian-pancakes-pannekaken/,scandinavian,2.0g,157mg,4g,0mg,Norwegian Pancakes - Pannekaken,19.6g,3.9g,237IU,0mg,0mg
Pebber Nodder (Danish Christmas Cookies),2mg,37,9mg,0.1g,6mcg,0mg,1mg,0mg,208,6mg,0.5g,4.37373733520508,79471/pebber-nodder-danish-christmas-cookies/,scandinavian,1.0g,15mg,2g,0mg,Pebber Nodder (Danish Christmas Cookies),4.4g,2g,62IU,0mg,0mg
