,Title,Reference,Popularity,Rating,Region,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
Coconut Coconut Milk Cake,Coconut Coconut Milk Cake,237023/coconut-coconut-milk-cake/,112,4.6097559928894,south-american,241,14.6g,10.0g,51mg,289mg,82mg,26.4g,1.1g,2.8g,17g,277IU,0mg,80mg,1mg,0mg,1mg,0mg,15mg,26mcg
Argentine Meat Empanadas,Argentine Meat Empanadas,12512/argentine-meat-empanadas/,131,4.16964292526245,south-american,498,36.8g,10.0g,73mg,326mg,213mg,27.7g,1.5g,14.7g,4g,455IU,2mg,28mg,3mg,0mg,7mg,0mg,22mg,51mcg
"Silpancho from Cochabamba, Bolivia","Silpancho from Cochabamba, Bolivia",255744/silpancho-from-cochabamba-bolivia/,9,4.75,south-american,928,23.7g,6.0g,235mg,558mg,1615mg,133.8g,9.6g,43.1g,10g,733IU,73mg,207mg,10mg,1mg,21mg,1mg,125mg,284mcg
Brazilian Cheese Rolls (Pao de Queijo),Brazilian Cheese Rolls (Pao de Queijo),221430/brazilian-cheese-rolls-pao-de-queijo/,78,4.52631568908691,south-american,199,12g,4.0g,36mg,386mg,34mg,17.2g,0g,5.8g,0g,124IU,0mg,166mg,0mg,0mg,1mg,0mg,8mg,5mcg
Chef John's Chimichurri Sauce,Chef John's Chimichurri Sauce,236375/chef-johns-chimichurri-sauce/,331,4.82539701461792,south-american,255,27.3g,4.0g,0mg,304mg,153mg,3g,0.8g,1g,0g,1812IU,25mg,52mg,1mg,0mg,0mg,0mg,14mg,27mcg
Bolivian Saltenas,Bolivian Saltenas,216872/bolivian-saltenas/,43,4.03030300140381,south-american,482,20.3g,10.0g,108mg,551mg,480mg,59g,4g,16.6g,12g,1347IU,17mg,48mg,4mg,0mg,9mg,0mg,39mg,119mcg
Peruvian Arroz con Pollo,Peruvian Arroz con Pollo,204963/peruvian-arroz-con-pollo/,96,4.46875,south-american,739,29.7g,7.0g,136mg,198mg,723mg,65.2g,3.5g,45.7g,6g,3664IU,39mg,78mg,5mg,1mg,21mg,1mg,77mg,155mcg
Colombian Stewed Flank,Colombian Stewed Flank,143611/colombian-stewed-flank/,47,4.35135126113892,south-american,236,15.6g,4.0g,36mg,770mg,466mg,9.2g,2.1g,15.4g,5g,659IU,14mg,45mg,3mg,0mg,6mg,0mg,32mg,23mcg
Suspiro Limeno,Suspiro Limeno,142175/suspiro-limeno/,16,4.16666650772095,south-american,401,11.9g,7.0g,109mg,171mg,461mg,62.4g,0.1g,11.6g,62g,401IU,3mg,359mg,0mg,0mg,3mg,0mg,34mg,21mcg
Quinoa and Black Beans,Quinoa and Black Beans,49552/quinoa-and-black-beans/,7k,4.64437437057495,south-american,153,1.7g,0.0g,0mg,517mg,333mg,27.8g,7.8g,7.7g,2g,362IU,5mg,41mg,2mg,0mg,2mg,0mg,35mg,61mcg
