,Title,Reference,Popularity,Rating,Region,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
Empanadas I,Empanadas I,12508/empanadas-i/,66,3.83636355400085,spanish,415,19.7g,5.0g,24mg,312mg,422mg,49.7g,2.9g,11.3g,27g,400IU,17mg,24mg,3mg,0mg,5mg,0mg,27mg,55mcg
Tortilla Espanola,Tortilla Espanola,213226/tortilla-espanola/,77,4.44999980926514,spanish,340,15.7g,4.0g,279mg,126mg,1018mg,37.3g,5.2g,14g,4g,1713IU,59mg,92mg,4mg,0mg,5mg,1mg,63mg,95mcg
Authentic Paella Valenciana,Authentic Paella Valenciana,73337/authentic-paella-valenciana/,59,4.07499980926514,spanish,783,31.3g,9.0g,82mg,328mg,401mg,87.3g,4.5g,34.2g,2g,759IU,8mg,85mg,7mg,1mg,16mg,1mg,48mg,230mcg
Chef John's Patatas Bravas,Chef John's Patatas Bravas,230569/chef-johns-patatas-bravas/,89,4.59183692932129,spanish,678,55.3g,8.0g,21mg,3885mg,1039mg,43.3g,5.8g,5.6g,3g,962IU,47mg,60mg,3mg,0mg,4mg,1mg,64mg,41mcg
Pontevedra-Style Spanish Chicken,Pontevedra-Style Spanish Chicken,223054/pontevedra-style-spanish-chicken/,,,spanish,1042,97.4g,22.0g,154mg,223mg,460mg,5.6g,1.1g,38.4g,0g,3305IU,6mg,49mg,3mg,0mg,20mg,1mg,43mg,13mcg
Spanish Style Albondigas in a Sunny Mediterranean Sauce,Spanish Style Albondigas in a Sunny Mediterranean Sauce,229484/spanish-style-albondigas-in-a-sunny-mediterranean-sauce/,10,4.44444465637207,spanish,615,40.1g,11.0g,87mg,760mg,874mg,26.4g,3.8g,26.4g,8g,1327IU,30mg,159mg,6mg,0mg,13mg,1mg,63mg,62mcg
Broiled Spanish Mackerel,Broiled Spanish Mackerel,217274/broiled-spanish-mackerel/,41,4.66666650772095,spanish,259,20.9g,4.0g,50mg,56mg,310mg,3g,1.3g,16.2g,0g,228IU,21mg,27mg,1mg,0mg,8mg,0mg,68mg,3mcg
Papas Alins or Patatas Alinadas (Andalusian Potatoes),Papas Alins or Patatas Alinadas (Andalusian Potatoes),246337/papas-alins-or-patatas-alinadas-andalusian-potatoes/,2,4,spanish,262,9.6g,1.0g,0mg,396mg,697mg,36.6g,3.8g,3.3g,2g,458IU,34mg,33mg,2mg,0mg,3mg,0mg,37mg,33mcg
Spanish Cod,Spanish Cod,76693/spanish-cod/,212,4.49079751968384,spanish,170,6.6g,2.0g,46mg,597mg,659mg,6.5g,1.6g,21.3g,2g,1038IU,17mg,32mg,1mg,0mg,7mg,0mg,41mg,19mcg
Spanish Flan ,Spanish Flan ,20979/spanish-flan/,1k,4.39384603500366,spanish,349,9.7g,5.0g,100mg,139mg,353mg,56.7g,0g,9.5g,57g,332IU,2mg,273mg,1mg,0mg,2mg,0mg,27mg,18mcg
Easy Paella,Easy Paella,84137/easy-paella/,958,4.61290311813354,spanish,736,35.1g,10.0g,202mg,1204mg,778mg,45.7g,2.9g,55.7g,2g,1544IU,31mg,73mg,6mg,1mg,28mg,1mg,84mg,141mcg
Empanadas,Empanadas,10685/empanadas/,567,4.57110071182251,spanish,226,10.3g,6.0g,28mg,84mg,43mg,32.1g,0.7g,1.8g,18g,335IU,2mg,17mg,1mg,0mg,1mg,0mg,4mg,29mcg
Espinacas con Garbanzos (Spinach with Garbanzo Beans),Espinacas con Garbanzos (Spinach with Garbanzo Beans),161535/espinacas-con-garbanzos-spinach-with-garbanzo-beans/,453,4.43969869613647,spanish,169,4.9g,1.0g,0mg,600mg,450mg,26g,6.4g,7.3g,2g,8350IU,10mg,133mg,3mg,0mg,2mg,1mg,83mg,166mcg
Gazpacho,Gazpacho,19770/gazpacho/,341,4.34387350082397,spanish,39,0.2g,0.0g,0mg,305mg,411mg,9.2g,1.6g,1.6g,6g,973IU,38mg,30mg,1mg,0mg,1mg,0mg,22mg,36mcg
Avocado and Tuna Tapas,Avocado and Tuna Tapas,139620/avocado-and-tuna-tapas/,561,4.67256641387939,spanish,294,18.2g,3.0g,27mg,154mg,755mg,11g,7.4g,23.9g,2g,782IU,31mg,33mg,2mg,0mg,18mg,1mg,56mg,99mcg
Spanish Potato Omelet,Spanish Potato Omelet,20198/spanish-potato-omelet/,999,4.4659686088562,spanish,252,21.5g,4.0g,124mg,54mg,293mg,10.7g,1.6g,5.4g,2g,555IU,10mg,35mg,1mg,0mg,2mg,0mg,18mg,31mcg
Chef John's Chicken and Rice ,Chef John's Chicken and Rice ,238133/chef-johns-chicken-and-rice/,781,4.55428552627563,spanish,474,19.1g,4.0g,77mg,1329mg,442mg,45.1g,2.4g,28.9g,4g,1880IU,36mg,56mg,5mg,0mg,13mg,0mg,47mg,127mcg
