,Title,Reference,Popularity,Rating,Region,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
Refined Sugar Free-Mango Sticky Rice,Refined Sugar Free-Mango Sticky Rice,256566/refined-sugar-free-mango-sticky-rice/,0,0,thai,332,16.8g,14.0g,0mg,159mg,398mg,45.7g,4g,4g,20g,575IU,22mg,29mg,4mg,0mg,2mg,0mg,53mg,25mcg
Khao Man Gai Thai Chicken and Rice (Healthy Version),Khao Man Gai Thai Chicken and Rice (Healthy Version),257375/khao-man-gai-thai-chicken-and-rice-healthy-version/,0,0,thai,807,12.4g,2.0g,59mg,3154mg,937mg,137.6g,4.8g,37.6g,26g,1951IU,340mg,99mg,5mg,0mg,14mg,1mg,82mg,45mcg
Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper),Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper),245888/goong-tod-kratiem-prik-thai-prawns-fried-with-garlic-and-white-pepper/,2,4.5,thai,377,24.7g,4.0g,157mg,1118mg,258mg,19.5g,1g,20.5g,4g,169IU,3mg,75mg,1mg,0mg,8mg,0mg,52mg,21mcg
Yam Taeng (Spicy Cucumber Salad),Yam Taeng (Spicy Cucumber Salad),213923/yam-taeng-spicy-cucumber-salad/,2,5,thai,347,4.5g,1.0g,8mg,625mg,1253mg,57.9g,10.2g,22.5g,4g,365IU,28mg,141mg,7mg,1mg,7mg,0mg,304mg,537mcg
Pad Kee Mow (Drunkard's Noodles),Pad Kee Mow (Drunkard's Noodles),220443/pad-kee-mow-drunkards-noodles/,51,4.48717927932739,thai,301,8.3g,1.0g,20mg,1204mg,338mg,44.9g,2.5g,11.8g,5g,2347IU,38mg,74mg,3mg,0mg,6mg,0mg,49mg,41mcg
Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang),Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang),150313/thai-sweet-sticky-rice-with-mango-khao-neeo-mamuang/,351,4.52016115188599,thai,817,26g,22.0g,0mg,458mg,561mg,144.3g,6.4g,8.4g,76g,1188IU,44mg,65mg,7mg,1mg,6mg,0mg,92mg,213mcg
Thai Carrot Salad,Thai Carrot Salad,239964/thai-carrot-salad/,17,4.80000019073486,thai,183,5.4g,1.0g,0mg,332mg,288mg,34.3g,2.7g,3.5g,28g,9951IU,6mg,32mg,1mg,0mg,2mg,0mg,32mg,27mcg
Thai Chicken Satay,Thai Chicken Satay,90294/thai-chicken-satay/,72,4.33333349227905,thai,391,25g,9.0g,66mg,315mg,607mg,9.3g,3g,35.4g,0g,81IU,9mg,41mg,3mg,0mg,23mg,1mg,103mg,38mcg
Thai Red Curry Paste,Thai Red Curry Paste,239501/thai-red-curry-paste/,7,4,thai,103,4.3g,1.0g,2mg,593mg,271mg,15g,3.9g,2.6g,5g,896IU,12mg,60mg,2mg,0mg,1mg,0mg,23mg,25mcg
Curried Coconut Chicken,Curried Coconut Chicken,68532/curried-coconut-chicken/,5k,4.49371671676636,thai,375,20.9g,14.0g,78mg,807mg,647mg,16.7g,2.8g,32.2g,11g,287IU,10mg,67mg,5mg,0mg,16mg,0mg,75mg,25mcg
