,Title,Reference,Popularity,Rating,Region,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
Yorkshire Pudding,Yorkshire Pudding,9239/yorkshire-pudding/,375,4.53038692474365,uk-and-ireland,157,3.3g,1.0g,89mg,261mg,121mg,19.1g,0.6g,11.8g,1g,135IU,0mg,44mg,2mg,0mg,3mg,0mg,16mg,54mcg
Irish Bacon And Cabbage Soup,Irish Bacon And Cabbage Soup,100378/irish-bacon-and-cabbage-soup/,210,4.53125,uk-and-ireland,276,8.1g,3.0g,21mg,825mg,1096mg,38.4g,6g,12.3g,5g,1239IU,55mg,73mg,4mg,0mg,6mg,1mg,58mg,58mcg
Ferg's Ulster Fry-up,Ferg's Ulster Fry-up,100526/fergs-ulster-fry-up/,20,4.69999980926514,uk-and-ireland,643,47.7g,11.0g,227mg,957mg,401mg,32.4g,1.9g,21g,3g,695IU,6mg,89mg,5mg,0mg,7mg,0mg,33mg,54mcg
Mushy Peas II,Mushy Peas II,52024/mushy-peas-ii/,10,3.46153855323792,uk-and-ireland,216,13g,5.0g,15mg,397mg,328mg,19.7g,6.2g,7g,7g,3076IU,31mg,68mg,5mg,0mg,3mg,0mg,43mg,97mcg
Beef Wellington,Beef Wellington,16899/beef-wellington/,509,4.52528095245361,uk-and-ireland,744,57.2g,21.0g,131mg,434mg,385mg,29.6g,1.2g,26.2g,1g,533IU,1mg,30mg,5mg,0mg,11mg,0mg,32mg,65mcg
Cawl (Traditional Welsh Broth),Cawl (Traditional Welsh Broth),48770/cawl-traditional-welsh-broth/,16,4.34999990463257,uk-and-ireland,154,3.1g,1.0g,12mg,248mg,709mg,23.8g,5g,9g,7g,2404IU,48mg,76mg,2mg,0mg,5mg,1mg,44mg,62mcg
Cock a Leekie Soup,Cock a Leekie Soup,16360/cock-a-leekie-soup/,63,4.47457647323608,uk-and-ireland,243,6.5g,2.0g,126mg,503mg,544mg,12.4g,2.1g,32.4g,3g,1022IU,8mg,61mg,3mg,0mg,17mg,1mg,62mg,55mcg
Vegetarian Haggis,Vegetarian Haggis,81466/vegetarian-haggis/,34,4.11111116409302,uk-and-ireland,163,5.6g,1.0g,19mg,176mg,166mg,22.5g,5.4g,6.6g,2g,984IU,3mg,24mg,2mg,0mg,2mg,0mg,20mg,44mcg
English Trifle to Die For,English Trifle to Die For,18981/english-trifle-to-die-for/,125,4.74489784240723,uk-and-ireland,566,33.2g,18.0g,179mg,350mg,188mg,63.6g,3.3g,6.7g,32g,1219IU,7mg,141mg,1mg,0mg,2mg,0mg,37mg,37mcg
Amazingly Easy Irish Soda Bread,Amazingly Easy Irish Soda Bread,16947/amazingly-easy-irish-soda-bread/,1k,4.47800588607788,uk-and-ireland,172,7.5g,2.0g,16mg,269mg,56mg,22.5g,0.7g,3.5g,3g,290IU,0mg,53mg,1mg,0mg,2mg,0mg,8mg,48mcg
Irish Chicken and Dumplings,Irish Chicken and Dumplings,11843/irish-chicken-and-dumplings/,1k,4.53888463973999,uk-and-ireland,595,9.2g,3.0g,58mg,2402mg,1376mg,94.4g,7.8g,33.9g,14g,11398IU,45mg,162mg,6mg,0mg,20mg,1mg,90mg,150mcg
Irresistible Irish Soda Bread,Irresistible Irish Soda Bread,7095/irresistible-irish-soda-bread/,1k,4.56606864929199,uk-and-ireland,192,4.9g,3.0g,27mg,497mg,102mg,31.7g,0.8g,5.1g,8g,149IU,0mg,123mg,2mg,0mg,3mg,0mg,12mg,61mcg
Guinness(R) Corned Beef,Guinness(R) Corned Beef,46530/guinness-corned-beef/,1k,4.41409683227539,uk-and-ireland,277,16.9g,5.0g,61mg,1384mg,355mg,13.6g,0g,16.7g,13g,0IU,31mg,19mg,2mg,0mg,7mg,0mg,17mg,6mcg
Irish Soda Bread,Irish Soda Bread,18456/irish-soda-bread/,919,4.69093418121338,uk-and-ireland,511,8.6g,5.0g,67mg,543mg,389mg,99.5g,3.2g,11.3g,15g,274IU,1mg,164mg,4mg,1mg,6mg,0mg,35mg,126mcg
Beef and Guinness(R) Stew,Beef and Guinness(R) Stew,234534/beef-and-guinness-stew/,1k,4.85261726379395,uk-and-ireland,528,24.6g,10.0g,96mg,1605mg,1015mg,42.1g,5.1g,29.4g,9g,5365IU,20mg,91mg,4mg,0mg,11mg,1mg,62mg,42mcg
Diane's Colcannon,Diane's Colcannon,58642/dianes-colcannon/,844,4.75558662414551,uk-and-ireland,250,12.6g,6.0g,26mg,217mg,756mg,29.8g,4.6g,5.8g,4g,258IU,45mg,59mg,1mg,0mg,3mg,1mg,43mg,46mcg
Braised Corned Beef Brisket,Braised Corned Beef Brisket,231030/braised-corned-beef-brisket/,1k,4.80608987808228,uk-and-ireland,455,33.7g,11.0g,162mg,1877mg,307mg,5.4g,0.7g,30.6g,2g,1IU,4mg,28mg,3mg,0mg,8mg,0mg,24mg,17mcg
Scottish Shortbread IV,Scottish Shortbread IV,11341/scottish-shortbread-iv/,899,4.57190656661987,uk-and-ireland,256,15.6g,10.0g,41mg,112mg,42mg,26.9g,0.6g,2.6g,9g,473IU,0mg,16mg,1mg,0mg,2mg,0mg,6mg,44mcg
Irish Lamb Stew,Irish Lamb Stew,16035/irish-lamb-stew/,823,4.59892082214355,uk-and-ireland,672,39.3g,16.0g,163mg,1189mg,936mg,26.3g,4g,46.4g,6g,8245IU,17mg,82mg,5mg,0mg,21mg,1mg,67mg,58mcg
Sky High Yorkshire Pudding,Sky High Yorkshire Pudding,95339/sky-high-yorkshire-pudding/,854,4.37873125076294,uk-and-ireland,160,7.2g,2.0g,65mg,40mg,106mg,17.9g,0.6g,5.6g,2g,158IU,0mg,60mg,1mg,0mg,2mg,0mg,11mg,48mcg
